# el-niño-del-pijama-de-rayas
# Total frases: 375 (filtradas y balanceadas)
# ========================================


## EASY (16 frases)

1. [86|dialogue] «Es curioso que nunca me haya preguntado qué hace esa gente ahí —pensó el niño—.
95. [90|narrative] De hecho, aunque la valla continuaba hasta donde alcanzaba la vista, las cabanas, los edificios y las columnas de humo estaban desapareciendo en la distancia, a su espalda, y el alambre lo separaba de una extensión de terreno vacío.

96. [90|narrative] Sabía que a veces las personas que están tristes no quieren que les pregunten qué les pasa; a veces lo cuentan ellos mismos y a veces no paran de hablar de ello durante meses, pero en esa ocasión Bruno creyó oportuno esperar.

97. [90|narrative] El niño los vio marchar desde la ventana de su dormitorio; se dirigieron hacia un coche conducido por un chófer, algo que impresionó mucho a Bruno, que se fijó en que el Furias no abrió la puerta a su acompañante sino que se montó en el vehículo y se puso a leer el periódico, mientras ella volvía a despedirse de Madre y le daba las gracias por la agradable velada.

98. [90|narrative] Padre se quedó en Auchviz un año más y acabó ganándose la antipatía de los otros soldados, a quienes trataba sin piedad.

99. [89|dialogue] Porque la barandilla de su casa arrancaba del último piso —justo enfrente de la pequeña buhardilla desde donde, si se ponía de puntillas y se aferraba al marco de la ventana, podía contemplar todo Berlín—, discurría hasta la planta baja y terminaba justo enfrente de la enorme puerta de roble de doble hoja.

100. [89|descriptive] La casa de Berlín estaba en una calle tranquila donde había otras también muy grandes, y le gustaba contemplarlas porque eran casi iguales a la suya, aunque no idénticas, y en ellas vivían otros niños con los que Bruno jugaba (si eran amigos) o a los que no se acercaba (si eran rivales).

101. [89|descriptive] Su hermana era tres años mayor que Bruno y desde que él tenía uso de razón le había dejado muy claro que en lo relativo a los asuntos del mundo, sobre todo cualquier asunto del mundo que afectara a ambos, quien mandaba era ella.

102. [89|poetic] Entonces se dio la vuelta y Bruno vio que tenía lágrimas en los ojos, pero ella se sobresaltó al ver a Maña allí plantada, contemplándola.

103. [89|descriptive] El coche oficial con las banderitas en el capó los llevó a una estación de ferrocarril que tenía dos vías separadas por un ancho andén.

104. [89|descriptive] En la pared del fondo había unas enormes ventanas saledizas que se proyectaban sobre el jardín y permitían colocar un cómodo asiento delante; y en el centro de todo aquello, sentado detrás de un enorme escritorio de roble, estaba Padre, que levantó la vista de sus papeles y esbozó una ancha sonrisa.

105. [89|descriptive] Pero aquel día, por lo visto, no había nada que hiciera enfadar a Padre (si Bruno era sincero, tenía que reconocer que Padre casi nunca se enfadaba: se quedaba callado y distante, pues en cualquier caso siempre acababa saliéndose con la suya, y en lugar de gritarle o perseguirlo por la casa, se limitaba a mover la cabeza dando por terminada la discusión).

106. [89|descriptive] En casa de Bruno, el momento culminante de las fiestas era cuando la Abuela cantaba, que por algún extraño motivo siempre coincidía con el momento en que Madre abandonaba el salón donde estaban los invitados y se iba a la cocina con alguna de sus amigas.

107. [89|dialogue] Aproximadamente una semana antes, se había notado mucho nerviosismo en la casa, algo que tenía que ver con que, de pronto, Maria, el cocinero y Lars —el mayordomo— debían dirigirse a Padre llamándolo «comandante», igual que todos los soldados que entraban, salían y utilizaban la casa —o al menos eso le parecía a Bruno— como si vivieran allí.

108. [89|dialogue] El asunto se resolvió rápidamente, porque el Furias, que era el invitado más grosero que Bruno había visto jamás, se dio la vuelta y se dirigió derecho hacia el comedor y, sin más, se sentó a la cabecera de la mesa, ¡en la silla de Padre!

109. [89|descriptive] Un par de días más tarde, Bruno llegó de la escuela a casa y encontró a Maria en su habitación, sacando todas sus cosas del armario y metiéndolas en cuatro grandes cajas de madera, incluso las pertenencias que él había escondido en el fondo del mueble, que eran suyas y de nadie más, y allí es donde empezó esta historia.

110. [89|descriptive] Pero cuando me caí, Pavel era el único adulto que había en casa y él me trajo aquí, me limpió la herida y me untó un ungüento verde que me escoció, pero supongo que me fue bien, y luego me puso un aposito.

111. [89|descriptive] Bueno, resulta que era médico antes de venir aquí, pero ya no le dejan ser médico y si Padre llega a saber que me limpió la herida cuando me hice daño, Pavel tendría problemas.

112. [89|dialogue] Un día Bruno le preguntó por qué todos los que vivían al otro lado de la alambrada llevaban el mismo pijama de rayas y la misma gorra de tela.

113. [89|descriptive] Pensó en la vez que había olvidado echar el pestillo del lavabo y la Abuela había entrado cuando él estaba sentado en el váter.

114. [89|descriptive] Encontró medio pollo relleno que había sobrado de la comida, y a Bruno se le iluminó la cara porque existían pocas cosas que le gustaran más que el pollo frío relleno de salvia y cebolla.

115. [89|poetic] Muy lentamente, volvió la cabeza y miró a Shmuel, que ya no lloraba sino que tenía los ojos fijos en el suelo; parecía tratar de convencer a su alma para que saliera de su cuerpecito, flotara hacia la puerta y se elevara por el cielo, deslizándose a través de las nubes hasta estar muy lejos de allí.

116. [89|descriptive] Gretel se quedaba en su habitación concentrada en los diversos mapas que había colgado en las paredes; consultaba los periódicos durante horas antes de desplazar un poco los alfileres (herr Liszt estaba muy satisfecho con aquella actividad de Gretel).

117. [89|descriptive] Por fortuna, paró de llover cuando herr Liszt estaba a punto de marcharse, así que Bruno se puso unas botas y su pesado abrigo, esperó a que no hubiera nadie a la vista y salió de la casa.

118. [89|descriptive] Aquel lugar no tenía nada especial ni diferente, pero Padre exploró un poco y descubrió que la base de la alambrada no estaba bien sujeta al suelo, como en los otros sitios, y que al levantarla dejaba un hueco lo bastante grande para que una persona muy pequeña, quizá un niño, se colara por debajo.

119. [89|narrative] Recordó un libro que había leído, en el que un hombre se perdía en el desierto y, como llevaba varios días sin comer ni beber nada, imaginaba que veía fabulosos restaurantes y enormes fuentes, pero cuando intentaba comer o beber en ellos éstos desaparecían y sólo encontraba puñados de arena.

120. [89|narrative] Shmuel se entristeció mucho al contar aquella historia, aunque Bruno no sabía por qué; él no lo encontraba tan terrible, pues al fin y al cabo le había pasado lo mismo.

121. [89|narrative] Y aunque él nunca se había molestado en preguntárselo, había muchas probabilidades de que Gretel se sintiera tan sola como él en Auchviz.

122. [89|narrative] Al fin y al cabo, cuando llegaron allí él también odió aquel lugar, debido a que no podía compararse con su casa de Berlín y a que echaba de menos muchas cosas, como a sus tres mejores amigos para toda la vida.

123. [89|narrative] A cada paso que daba se arriesgaba a tropezar y caerse, pero eso no llegó a suceder y consiguió mantener el equilibrio, incluso en un tramo del camino particularmente difícil, cuando levantó la pierna izquierda, la bota quedó enganchada en el barro y el pie se le salió.

124. [89|narrative] Bruno sintió ganas de abrazar a Shmuel y decirle lo bien que le caía y cuánto había disfrutado hablando con él durante todo ese año.

125. [88|descriptive] Y contando también la pequeña buhardilla de ventanas inclinadas que había en lo alto del edificio, desde donde Bruno podía contemplar todo Berlín si se ponía de puntillas y se aferraba al marco.

126. [88|descriptive] Unos segundos más tarde estaba fuera y echó a correr de una punta a otra del camino de la casa, porque necesitaba moverse, hacer algo que lo cansara.

127. [88|poetic] Kotler era el joven oficial al cual Bruno había visto el día de su llegada a Auchviz, el que había aparecido en el piso de arriba de su casa y que lo había mirado un momento antes de saludarlo con la cabeza y seguir su camino.

128. [88|poetic] Claro que la última obra de teatro que habían interpretado terminó como el rosario de la aurora y Bruno todavía la recordaba con tristeza, aunque no estaba muy seguro de qué había desencadenado la discusión.

129. [88|descriptive] Y entonces, a medida que Bruno se acercaba más, vio que aquella cosa no era ni un punto ni una manchita ni un borrón ni una figura, sino una persona.

130. [88|dialogue] El otro día la pillé haciéndolo y cuando él entró ella dio un respingo y dijo «Vaya, teniente Kotler, no sabía que estaba usted aquí», pero yo sé seguro que lo estaba esperando.

131. [88|descriptive] La lluvia había empezado por la noche y supuso que el ruido lo había despertado, pero no estaba seguro porque una vez despierto no podía saber qué lo había despertado.

132. [88|descriptive] Shmuel no le estaba prestando mucha atención: tenía los ojos fijos en los trozos de pollo que Bruno iba engullendo con toda tranquilidad.

133. [88|descriptive] El niño contempló un momento la comida que tenía en la mano y luego miró a Bruno con los ojos muy abiertos, con una expresión que denotaba agra decimiento y también terror.

134. [88|narrative] Si no hay más remedio que pasar el resto del día aquí, y cenar y quedarnos a dormir esta noche porque todos estamos cansados, no importa, pero mañana tendríamos que levantarnos temprano si queremos llegar a Berlín antes de la hora de merendar.

135. [88|narrative] Entonces él y su familia subieron a un tren muy cómodo en el que viajaban muy pocos pasajeros, había muchos asientos vacíos y entraba bastante aire fresco cuando bajaban las ventanillas.

136. [88|narrative] Habría que limpiar la casa a fondo (incluidos los cristales), teñir y barnizar la mesa del comedor, encargar la comida, lavar y planchar los uniformes de la criada y el mayordomo, y dar brillo a la vajilla y la cristalería hasta que destellaran.

137. [88|narrative] Cuando hacía memoria, recordaba que Karl y Martin eran dos de sus tres mejores amigos para toda la vida, pero por mucho que se esforzara no lograba recordar cómo se llamaba el otro.

138. [88|narrative] Un día elaboró una teoría acerca de lo que había podido ocurrir y volvió al tramo de alambrada donde un año atrás habían encontrado la ropa de su hijo.

139. [87|dialogue] La experiencia es la madre de la ciencia —añadió, una frase que había aprendido hacía poco y que le gustaba utilizar siempre que era posible.

140. [87|descriptive] El suelo parecía de arena, y Gretel sólo vio pequeñas cabanas y grandes edificios cuadrados, separados entre ellos, y una o dos columnas de humo a lo lejos.

141. [87|poetic] Tuvo ganas de gritar a aquella gente que en su vagón quedaban muchos asientos vacíos, pero se abstuvo porque intuyó que, aunque aquello no hiciera enfadar a Madre, seguramente pondría furiosa a Gretel, lo cual habría sido peor.

142. [87|descriptive] Ese día parecía tan joven que el niño se sorprendió; de hecho, le recordó a los chicos mayores de la escuela, aquellos a los que no era conveniente acercarse.

143. [87|dialogue] Cuando retiró el paño con cuidado, la herida había dejado de sangrar; entonces agarró una botellita con un líquido verde del botiquín y le dio unos toques en la herida, que a Bruno le escocieron bastante y le hicieron decir varios «ay».

144. [87|dialogue] Bruno llevaba meses contemplándolo, escudriñando la placa desde lejos y llamándolo «el banco de la placa», pero sin saber qué ponía en la placa.

145. [87|descriptive] En lo único que Bruno intentaba no pensar era que tanto Madre como Padre le habían advertido en innumerables ocasiones que estaba prohibido pasear en aquella dirección, que estaba prohibido acercarse a la alambrada del campo, y sobre todo que en Auchviz estaba prohibido explorar.

146. [87|poetic] De un modo u otro, pese a que la lista parecía crecer y crecer, Madre consiguió terminarlo todo a tiempo, aunque no paraba de decir que la velada habría tenido el éxito asegurado si ciertas personas hubieran ayudado un poco más a prepararlo todo.

147. [87|descriptive] Estrenaba zapatos para la ocasión, y estaba muy orgulloso de ellos, aunque le iban pequeños, le dolían los pies y le costaba andar.

148. [87|dialogue] Una tarde, Shmuel apareció con un ojo morado, y cuando Bruno le preguntó qué le había pasado, él se limitó a menear la cabeza diciendo que no quería hablar de ello.

149. [87|descriptive] Odiaba al teniente Kotler, pero éste se estaba acercando y él sólo podía pensar en la tarde que lo había visto pegarle un tiro a un perro y en la noche que Pavel lo había hecho enfadarse tanto que...

150. [87|descriptive] Pasó casi una semana 172 y Bruno estaba convencido de que su comportamiento había sido tan terrible que Shmuel nunca lo perdonaría, pero el séptimo día se llevó una gran alegría al ver que su amigo lo estaba esperando sentado en el suelo con las piernas cruzadas, como de costumbre, y con la vista clavada en el polvo.

151. [87|descriptive] Allí Bruno se dio cuenta de que ya no era tan bajito como cuando se había marchado, porque podía ver por encima de cosas que antes le tapaban la vista, e incluso en su antigua casa comprobó que podía mirar por la ventana de la buhardilla y contemplar todo Berlín sin necesidad de ponerse de puntillas.

152. [87|descriptive] El lunes estaba aquí, luego se marchó a hacer su turno de trabajo con unos cuantos hombres más y ninguno ha regresado todavía.

153. [87|narrative] Se pone a mirar por la ventana y cuando ve llegar al teniente Kotler baja corriendo al recibidor y finge que llevaba mucho rato allí.

154. [87|narrative] Pensó en la vez que se había caído de la bicicleta delante de un grupo de niñas al intentar una acrobacia y se había hecho daño en la rodilla y había llorado.

155. [87|narrative] Su hermana lo miró fijamente y de pronto se echó a reír, y no paró hasta que vio que Bruno seguía con expresión muy seria.

156. [87|narrative] Había imaginado que habría una tienda en el centro y quizá una pequeña cafetería como las de Berlín; y se había preguntado si habría un puesto de fruta y verdura.

157. [86|dialogue] Y no había nada que a Bruno le gustara más que montarse en la barandilla en el último piso y deslizarse por toda la casa haciendo «zuuum».

158. [86|dialogue] Cuando reparó en aquello, Bruno se preguntó si ellos irían también al sitio del nuevo trabajo y supuso que sí, porque ¿cómo iban a dejarlos allí?

159. [86|descriptive] Era una alambrada muy alta, incluso más que la casa donde se hallaban los niños, y estaba sostenida por gruesos postes de madera, como los de telégrafos, repartidos a intervalos.

160. [86|descriptive] Gretel abrió la boca para replicar, pero no se le ocurrió ninguna respuesta adecuada, así que miró de nuevo y escudriñó el terreno en busca de los animales.

161. [86|dialogue] Así que llamó de nuevo, esta vez un poco más fuerte; entonces oyó una retumbante voz al otro lado de la puerta: «¡Pase!» Bruno entró y adoptó la postura acostumbrada de ojos muy abiertos, labios formando una O y brazos extendidos hacia los lados.

162. [86|descriptive] Pronunció aquellas palabras sin pensar antes si eran sensatas o no, y al oírlas le pareció que no decían exactamente lo que quería decir a Padre, pero allí estaban, ya las había dicho y no había forma de borrarlas.

163. [86|poetic] Era mayor que Padre pero más joven que Abuelo, lo cual significaba que era bastante anciano, y aunque Bruno nunca lo había visto antes de llegar a Auchviz, su cara tenía algo que le hizo pensar que en el pasado había llevado barba.

164. [86|dialogue] «Al fin y al cabo —razonó—, quizá no quieran que me haga amigo de él, y en ese caso me prohibirán venir aquí.» Cuando entró en la casa y olió la carne que se estaba asando en el horno para la cena, ya había decidido que sería mejor no decir nada, al menos de momento.

165. [86|descriptive] Hasta entonces no se le había ocurrido a quién podía formulársela, pero aquél parecía el momento idóneo y Maria la persona más adecuada.

166. [86|dialogue] Luego, el hecho de que, en las raras ocasiones en que hablaba con Bruno, el teniente lo llamaba «jovencito», algo sumamente desagradable, sobre todo teniendo en cuenta que, como señalaba Madre, el soldado todavía no había dado el estirón.

167. [86|descriptive] Y como si quisiera demostrar algo que su amigo ya sabía, levantó una mano y Bruno no pudo evitar fijarse en que parecía la mano del esqueleto de mentira que herr Liszt había llevado para la lección de anatomía.

168. [86|descriptive] Bruno miró el cielo, y aunque todavía estaba muy oscuro, pensó que, como había llovido mucho todo el día, seguramente estaría a salvo aquella tarde.

169. [86|descriptive] Si no fuera porque Bruno no estaba tan delgado ni tan pálido como los niños de su lado de la alambrada, habría costado distinguirlo de ellos.

170. [86|descriptive] Había imaginado que en las cabanas vivían familias felices, algunas de las cuales, al anochecer, se sentarían fuera en mecedoras para contarse historias y comentar que todo era mejor antes, cuando ellos eran pequeños y tenían respeto por sus mayores, no como los niños de hoy en día.

171. [86|narrative] Unos seis metros más allá del jardín y las flores y el banco con la placa, todo cambiaba: paralela a la casa discurría una enorme alambrada, con la parte superior inclinada hacia dentro, que se extendía en ambas direcciones hasta más allá de donde alcanzaba la vista.

172. [86|narrative] Bruno y Gretel vieron a cientos de personas, pero había tantas cabanas y el campo se extendía hasta tan lejos, más allá de donde alcanzaba la vista, que daba la impresión de que debía de haber miles.

173. [86|narrative] Sólo había conocido a una persona a la que consideraba loca, herr Roller, un hombre de la misma edad que Padre y que vivía al doblar la esquina de su antigua calle de Berlín.

174. [86|narrative] Bruno asintió satisfecho, pues dedujo que por fin le darían una explicación de por qué se habían visto obligados a marchar todos de su cómoda casa y mudarse a aquel lugar tan espantoso, ya que ésa debía de ser la mayor injusticia padecida en su corta vida.

175. [86|narrative] Pero mientras lo pensaba, sus piernas, que no paraban de moverse, lo iban acercando más y más a aquel punto, que entretanto se había convertido en una manchita y empezaba a dar muestras de convertirse en un borrón.

176. [86|narrative] No entiendo por qué yo tengo que estar aquí, en este lado de la alambrada, donde no hay nadie con quien hablar o jugar, mientras que tú tienes montones de amigos y seguramente pasas horas jugando con ellos todos los días.

177. [85|descriptive] Continuaba hasta el siguiente, donde estaba su dormitorio y el de Gretel, y el cuarto de baño más pequeño que sí le dejaban utilizar y que en realidad habría debido utilizar más a menudo.

178. [85|descriptive] Además, tenía unas amigas muy antipáticas que por lo visto pensaban que era muy divertido burlarse de él, pero él jamás habría permitido algo así si hubiera sido tres años mayor que su hermana.

179. [85|descriptive] Cuanto más les gritaban, más se amontonaban los niños, pero entonces un soldado se abalanzó sobre ellos y los niños se separaron e hicieron lo que al parecer les ordenaban, que era ponerse en fila india.

180. [85|dialogue] ¿Crees que habría tenido tanto éxito en la vida si no hubiera aprendido cuándo he de discutir y cuándo obedecer las órdenes sin rechistar?

181. [85|descriptive] Había esperado que Maria se pusiera de su lado en la campaña para marcharse de Auchviz, pero ahora comprendió a quién era leal la criada.

182. [85|descriptive] La Abuela tenía el cabello largo y pelirrojo, asombrosamente parecido al de su nuera, y los ojos verdes, y aseguraba que aquello se debía a que en su familia había sangre irlandesa.

183. [85|descriptive] Todas las personas de aquel campo llevaban la misma ropa, aquellos pijamas y gorras de rayas; y todas las personas que se paseaban por su casa (excepto Madre, Gretel y él) llevaban uniformes de diversa calidad y con diversos adornos, gorras, cascos, llamativos brazaletes rojos y negros, e 101 iban armadas y siempre parecían tremendamente serias, como si todo fuera muy importante y nadie debiera pensar lo contrario.

184. [85|descriptive] Antes de que viniéramos aquí, yo vivía con mi madre, mi padre y mi hermano Josef en un pequeño piso encima del taller donde mi padre fabrica sus relojes.

185. [85|descriptive] La tarde anterior a la fiesta de cumpleaños, Bruno estaba en su habitación con la puerta abierta cuando oyó llegar a Kotler y hablar con alguien, aunque no oyó que nadie le contestara.

186. [85|descriptive] Shmuel caviló unos momentos, entonces se inclinó y levantó un poco la alambrada, hasta formar un hueco por donde habría podido colarse un niño pequeño, quizá de la estatura y el tamaño de Bruno.

187. [85|descriptive] Lo único que notaba era el barro pegado por todo el cuerpo y el pijama adhiriéndose a su piel por efecto de la lluvia.

188. [85|narrative] De vez en cuando peleaba con tanta rabia que golpeaba con los puños el muro de ladrillo y se hacía sangre, y entonces caía de rodillas, se echaba a llorar desconsoladamente y se daba palmadas en la cabeza.

189. [85|narrative] Después de cenar y después de que Gretel y Bruno hubieran representado su nueva obra, ella se sentó con aire taciturno en una butaca y miró a Padre, sacudiendo la cabeza como si su hijo le hubiera dado un tremendo disgusto.

190. [85|narrative] Cuando llevaba casi una hora andando y empezó a tener hambre, pensó que quizá ya había explorado suficiente por aquel día y que debería volver.

191. [85|narrative] Al fin y al cabo, en Berlín ella podía jugar con Hilda, Isobel y Louise; quizá fueran unas niñas muy pesadas, pero al menos eran sus amigas.

192. [85|narrative] También, el hecho de que se pasaba horas bromeando con Madre en el salón, y ésta le reía las gracias más que a Padre.

193. [85|narrative] Cuando despertó por la mañana, Bruno se asomó a la ventana y se llevó una decepción al ver que llovía a cántaros.

194. [85|narrative] Pensaba que todos los niños y niñas que vivían allí estarían en diferentes grupos, jugando al tenis o al fútbol, brincando o trazando cuadrados en el suelo para jugar al tejo.

195. [85|narrative] Este examinó el lugar y miró a derecha e izquierda, tal como había hecho Bruno, pero no logró explicarse qué le había pasado a su hijo.

196. [84|descriptive] Siempre acudían muchas visitas a la casa (hombres con uniformes fabulosos y mujeres con máquinas de escribir que él no podía tocar con las manos sucias), y todos se mostraban muy educados con su padre y comentaban que era un hombre con porvenir y que el Furia tenía grandes proyectos para él.

197. [84|descriptive] El resto de la casa quizá fuera un poco oscuro y triste y sin muchas posibilidades para la exploración, pero aquella habitación era otra cosa.

198. [84|poetic] Pocas veces en la vida se había empeñado tanto en salirse con la suya, y desde luego nunca había ido a hablar con Padre tan decidido a hacerle cambiar de opinión respecto a algo, pero la idea de vivir en un sitio tan horrible donde no había nadie con quien jugar era insoportable.

199. [84|dialogue] Bruno la conocía de toda la vida —Maria había empezado a trabajar para ellos cuando él tenía sólo tres años—, y en general siempre se habían llevado bien, pero hasta entonces ella nunca había dado señales de tener vida propia.

200. [84|poetic] Encontrar la cuerda fue fácil, pues en el sótano de la casa se almacenaban varios rollos y no le llevó mucho tiempo hacer algo tan peligroso como buscar un cuchillo afilado y cortar todos los trozos que consideró necesarios.

201. [84|dialogue] Antes de subir al piso de arriba oyó otra cosa, y aquello fue lo último que Madre le dijo al camarero que afirmaba ser médico.

202. [84|dialogue] Al fin y al cabo, aquella casa no era como la de Berlín, que tenía cientos de rincones, recovecos y extraños cuartitos, por no mencionar los cinco pisos —contando el sótano y la buhardilla en lo alto del edificio, con aquella ventana por la que sólo podía mirar si se ponía de puntillas—.

203. [84|poetic] Maria exhaló un suspiro y miró por la ventana para comprobar que no venía nadie; entonces señaló las sillas y ambos se sentaron.

204. [84|descriptive] Bruno no estaba mirando a Shmuel mientras decía todo aquello, pero cuando volvió a mirarlo vio que su amigo se había puesto aún más pálido de lo habitual.

205. [84|descriptive] El hombre se encogía semana tras semana, aunque parecía difícil que pudiera encogerse aún más, y el color había desaparecido casi por completo de sus mejillas.

206. [84|descriptive] Bruno sonrió porque sabía dos cosas: una, que Gretel se había tragado su mentira; y dos, que si allí había algún tonto de remate, no era él.

207. [84|dialogue] Unos minutos más tarde, cuando Bruno bajó, oyó a Madre dando instrucciones de lo que había que hacer y al teniente diciendo «No te preocupes, ése sabe lo que le conviene», y luego riendo de una forma muy desagradable.

208. [84|dialogue] Madre explicó a Bruno que Padre era quien estaba más triste, porque había discutido con la Abuela y no habían hecho las paces antes de que ella muriera.

209. [84|dialogue] Pero Bruno se había acostumbrado a la vida en Auchviz: no le importaba tener que aguantar a herr Liszt, se llevaba muy bien con Maria —mucho mejor que cuando vivían en Berlín—, Gretel seguía con su mala racha y lo dejaba en paz (y ya no parecía tan tonta de remate), y sus tardes conversando con Shmuel lo llenaban de alegría.

210. [84|narrative] John Boyne EL NIÑO CON EL PIJAMA DE RAYAS Traducción del inglés de Gemma Rovira Ortega salamandra Título original: The Boy in the Striped Pyjamas Ilustración de la cubierta: Reproducida por acuerdo con Random House Children's Books, parte de Random House Group Ltd.

211. [84|narrative] Para empezar, se entretenía demasiado en el cuarto de baño por las mañanas, sin importarle que Bruno estuviese esperando fuera dando saltitos, aguantándose el pis.

212. [84|narrative] Cuando por fin logró ponerse en pie, le dolían mucho un brazo y una pierna, pues había caído sobre ellos, aunque no creía que los tuviera rotos.

213. [84|narrative] Madre había dicho a Bruno que felicitara a Padre y él lo había hecho, aunque sinceramente (y él siempre procuraba ser sincero consigo mismo) no entendía muy bien el motivo de esa felicitación.

214. [84|narrative] Aquello debió de poner fin a la conversación, porque entonces Madre salió del despacho de Padre y el niño se quedó dormido.

215. [84|narrative] Bruno la oyó hablar con sus muñecas en el dormitorio del otro lado del pasillo y regañarlas por haber armado tanto jaleo durante su ausencia, puesto que ahora ella tendría que volver a ordenarlo todo, como si no tuviera nada mejor que hacer.

216. [84|narrative] Shmuel asintió rápidamente con la cabeza y empezó a temblar un poco mientras cogía otra servilleta y la mojaba en el agua del cuenco.

217. [84|narrative] Y entonces sucedió algo que hizo que pudiera salir de Auchviz durante dos días y regresar a su antigua casa: la Abuela había muerto y la familia debía volver a Berlín para el funeral.

218. [84|narrative] Bruno frunció el entrecejo, pero sintió alivio al ver que todos los ataviados con pijama de rayas de aquella parte se estaban congregando, y que a la mayoría los juntaban los soldados a empujones, así que Shmuel y él quedaron escondidos en el centro del grupo, donde no se los veía.

219. [83|descriptive] Era un hombre mucho más joven y más bajo que Padre, aunque vestía el mismo tipo de uniforme, sólo que sin tantos adornos.

220. [83|descriptive] Bruno estaba convencido de que si entrara en la habitación de Gretel para explorar cuando ella no estuviese en casa, luego las muñecas se lo contarían todo.

221. [83|descriptive] Su hermano nunca había conseguido engañarla y suponía que tampoco la estaba engañando en aquel momento, pero algo en su actitud la hacía dudar sobre si de verdad quería ver a aquellos niños.

222. [83|poetic] Su antigua vida en Berlín ya parecía un lejano recuerdo, y casi no se acordaba del aspecto de Karl, Daniel y Martin, salvo que uno de ellos era pelirrojo.

223. [83|descriptive] Yo le cuento cómo era nuestra casa de Berlín, y las otras casas y las calles y los puestos de fruta y verdura y las cafeterías, y que no podías ir al centro los sábados por la tarde porque la gente te empujaba; y de Karl y Daniel y Martin, que eran mis tres mejores amigos para toda la vida.

224. [83|narrative] En Berlín la gente sacaba mesas a la calle, y a veces, cuando Bruno volvía caminando de la escuela con Karl, Daniel y Martin, había hombres y mujeres sentados a aquellas mesas, tomando bebidas espumosas y riendo a carcajadas; la gente que se sentaba a aquellas mesas debía de ser muy graciosa, pensaba él, porque dijeran lo que dijesen siempre había alguien que se reía.

225. [83|narrative] En los días siguientes, Madre, Gretel, Maria, el cocinero, Lars y Bruno se habían dedicado a meter sus cosas en cajas y cargarlas en un gran camión que las trasladaría a su nueva casa de Auchviz.

226. [83|narrative] El accidente se produjo dos horas después de que Bruno hubiera encontrado un neumático adecuado y Pavel lo hubiera arrastrado hasta el gran roble que se veía desde la ventana de Gretel.

227. [83|narrative] Servía los platos y, mientras ellos comían y hablaban, se retiraba hacia 142 la pared y se quedaba inmóvil, sin mirar al frente ni a ningún otro sitio.

228. [83|narrative] Asimismo, Bruno recordaba el día que un perro se acercó a la alambrada y se puso a ladrar: cuando lo oyó, el teniente Kotler fue derecho hacia el animal y le pegó un tiro.

229. [83|narrative] Echó una última ojeada a la puerta y entonces tomó una decisión: se metió de golpe los tres trozos de pollo en la boca y se los zam-'pó en sólo veinte segundos.

230. [83|narrative] Aunque intentaba no ser como los niños que se dedican a escuchar por el ojo de la cerradura y por las chimeneas, una tarde Bruno pasó por delante del despacho de Padre mientras Madre y Padre estaban dentro manteniendo una de sus conversaciones.

231. [83|narrative] Acabó sentándose en el suelo y adoptando casi la misma postura que Bruno había adoptado todas las tardes durante un año, aunque sin cruzar las piernas debajo del cuerpo.

232. [82|descriptive] En cambio sí había gente que entraba y salía, y mientras trataba de decidir qué era lo mejor que podía hacer, Bruno oyó un gran alboroto proveniente de abajo; salió al pasillo y se asomó a la barandilla.

233. [82|descriptive] La mayoría de los días, el joven oficial presentaba un aspecto muy elegante, se paseaba con aire resuelto y daba la impresión de que le hubieran planchado el uniforme una vez puesto.

234. [82|descriptive] Kotler estaba absorto en una conversación con Gretel y lo que decía debía de ser tremendamente gracioso, puesto que ella reía a carcajadas y se enroscaba el cabello con los dedos formando tirabuzones.

235. [82|dialogue] Entonces vio a Pavel —el anciano que por las tardes acudía a la cocina a pelar las hortalizas para la cena, antes de ponerse la chaqueta blanca y servir la mesa— dirigiéndose hacia la casa, y por lo visto se decidió.

236. [82|descriptive] Pero no tuvo que preguntárselo mucho rato, ya que el roble donde había construido el columpio estaba en el mismo lado de la casa que la cocina, y Pavel, que se encontraba junto a la ventana pelando patatas, había visto el accidente.

237. [82|descriptive] Los galones del uniforme fue lo que más impresionó a Bruno, y tras comprobar que tenía las manos limpias le dejaron ponerse la gorra un rato.

238. [82|descriptive] Pese a que en general se mostraba simpático y nunca le levantaba la mano como hacía su antiguo profesor de Berlín, algo en su mirada sugería que albergaba mucha rabia acumulada que podía liberarse en cualquier momento.

239. [82|descriptive] No estaba muy seguro de tener una Patria, porque, aunque la casa de Berlín era grande y cómoda, no había mucho jardín alrededor.

240. [82|descriptive] Y era lo bastante mayor para saber que sus padres no eran los propietarios de Auchviz, pese a que allí sí había mucha tierra.

241. [82|descriptive] La mayoría de las veces los exploradores tropezaban con algo interesante que sencillamente estaba allí, sin molestar a nadie, esperando a que lo descubrieran (por ejemplo, América).

242. [82|poetic] Llegué a casa y mi madre nos estaba haciendo brazaletes con una tela que le habían dado y dibujando una estrella en cada uno.

243. [82|dialogue] Se preguntó si la chaqueta blanca que se ponía para hacer de camarero era la misma chaqueta blanca que antes se ponía para hacer de médico.

